Kota,Lintang,Bujur
KOTA SURABAYA,-7.2504,112.7688
BANGKALAN,-7.0255,112.936
SAMPANG,-7.1872,113.2424
PAMEKASAN,-7.1593,113.4801
SUMENEP,-7.0187,113.8644
SIDOARJO,-7.4478,112.7183
KOTA PASURUAN,-7.6453,112.9075
PASURUAN,-7.7656,112.8398
JOMBANG,-7.5459,112.233
KOTA MOJOKERTO,-7.4664,112.4338
MOJOKERTO,-7.5511,112.5085
KOTA MALANG,-7.9797,112.6304
KOTA BATU,-7.8671,112.5239
MALANG,-8.134,112.5697
BLITAR,-8.1328,112.2272
KOTA BLITAR,-8.0983,112.1681
TULUNGAGUNG,-8.1065,111.9054
KEDIRI,-7.8286,112.0119
KOTA KEDIRI,-7.8189,112.0163
NGANJUK,-7.6033,111.9001
MADIUN,-7.6322,111.6601
MAGETAN,-7.6534,111.3283
NGAWI,-7.4042,111.4429
PACITAN,-8.1654,111.1215
PONOROGO,-7.8694,111.4645
TRENGGALEK,-8.0531,111.713
GRESIK,-7.1633,112.6322
LAMONGAN,-7.1177,112.3168
BOJONEGORO,-7.1502,111.8818
TUBAN,-6.8988,112.0469
KOTA PROBOLINGGO,-7.7569,113.2163
LUMAJANG,-8.135,113.2241
PROBOLINGGO,-7.868,113.3134
JEMBER,-8.1724,113.6995
BANYUWANGI,-8.2192,114.3692
BONDOWOSO,-7.9157,113.8223
SITUBONDO,-7.7088,114.0044
KENDAL,-7.0264,110.1699
KOTA SEMARANG,-7.0051,110.4381
DEMAK,-6.8948,110.6384
KOTA SALATIGA,-7.3305,110.5084
SEMARANG,-7.1951,110.4414
JEPARA,-6.5864,110.6672
KUDUS,-6.8048,110.8405
PATI,-6.7559,111.0378
REMBANG,-6.7086,111.3414
KARANGANYAR,-7.5956,111.0264
KOTA SURAKARTA,-7.5666,110.8283
WONOGIRI,-7.848,110.9507
BOYOLALI,-7.5023,110.596
KLATEN,-7.7058,110.5975
SUKOHARJO,-7.68,110.8354
BLORA,-7.0016,111.4556
GROBOGAN,-7.0868,110.9168
SRAGEN,-7.4109,110.9859
GUNUNG KIDUL,-7.961,110.6006
SLEMAN,-7.7027,110.3392
BANTUL,-7.886,110.3308
KOTA YOGYAKARTA,-7.7956,110.3695
KULON PROGO,-7.8016,110.1555
KOTA MAGELANG,-7.4797,110.2177
MAGELANG,-7.514,110.2372
TEMANGGUNG,-7.3033,110.1448
KEBUMEN,-7.6698,109.6511
PURWOREJO,-7.7126,110.0101
BATANG,-6.9404,109.7616
KOTA PEKALONGAN,-6.8898,109.6746
PEKALONGAN,-7.0375,109.6056
PEMALANG,-7.0044,109.3905
PURBALINGGA,-7.3005,109.3524
BREBES,-7.0142,108.9248
KOTA TEGAL,-6.8696,109.1402
TEGAL,-7.0132,109.1173
BANYUMAS,-7.4334,109.1763
CILACAP,-7.5683,109.0069
BANJARNEGARA,-7.3364,109.68
WONOSOBO,-7.362,109.901
BULELENG,-8.1885,114.9935
JEMBRANA,-8.3292,114.6548
TABANAN,-8.4607,115.0864
BADUNG,-8.5142,115.2017
KOTA DENPASAR,-8.6705,115.2126
BANGLI,-8.2872,115.34
GIANYAR,-8.4651,115.2891
KARANG ASEM,-8.3615,115.5262
KLUNGKUNG,-8.5377,115.4268
KOTA MATARAM,-8.5833,116.1167
LOMBOK BARAT,-8.6186,116.1264
LOMBOK TENGAH,-8.7188,116.2934
LOMBOK TIMUR,-8.6046,116.5298
LOMBOK UTARA,-8.3308,116.2574
BIMA,-8.5991,118.7247
DOMPU,-8.5303,118.4633
KOTA BIMA,-8.4551,118.7369
SUMBAWA,-8.6318,117.3999
SUMBAWA BARAT,-8.7521,116.8839
BELU,-9.2312,124.8967
KOTA KUPANG,-10.1583,123.5973
KUPANG,-9.9701,123.8569
MALAKA,-9.5694,124.8922
ROTE NDAO,-10.741,123.1118
TIMOR TENGAH SELATAN,-9.866,124.2829
TIMOR TENGAH UTARA,-9.3496,124.4716
SABU RAIJUA,-10.5739,121.8402
SUMBA BARAT,-9.596,119.3807
SUMBA TIMUR,-9.8732,120.252
ALOR,-8.2435,124.6468
ENDE,-8.749,121.7516
FLORES TIMUR,-8.324,122.9557
LEMBATA,-8.4239,123.4939
SIKKA,-8.6496,122.2155
MANGGARAI,-8.5283,120.4095
MANGGARAI BARAT,-8.6446,119.8821
MANGGARAI TIMUR,-8.6811,120.6698
NGADA,-8.7296,120.9701
