WOK,Kota
SURABAYA,KOTA SURABAYA
BANGKALAN SAMPANG,BANGKALAN
BANGKALAN SAMPANG,SAMPANG
PAMEKASAN SUMENEP,PAMEKASAN
PAMEKASAN SUMENEP,SUMENEP
SIDOARJO PASURUAN 1,SIDOARJO
SIDOARJO PASURUAN 2,KOTA PASURUAN
SIDOARJO PASURUAN 2,PASURUAN
JOMBANG MOJOKERTO,JOMBANG
JOMBANG MOJOKERTO,KOTA MOJOKERTO
JOMBANG MOJOKERTO,MOJOKERTO
MALANG SELATAN,KOTA MALANG
MALANG UTARA,KOTA BATU
MALANG UTARA,MALANG
TULUNGAGUNG,BLITAR
TULUNGAGUNG,KOTA BLITAR
TULUNGAGUNG,TULUNGAGUNG
KEDIRI,KEDIRI
KEDIRI,KOTA KEDIRI
KEDIRI,NGANJUK
MADIUN - PONOROGO TRENGGALEK,MADIUN
MADIUN - PONOROGO TRENGGALEK,MAGETAN
MADIUN - PONOROGO TRENGGALEK,NGAWI
MADIUN - PONOROGO TRENGGALEK,PACITAN
MADIUN - PONOROGO TRENGGALEK,PONOROGO
MADIUN - PONOROGO TRENGGALEK,TRENGGALEK
LAMONGAN GRESIK,GRESIK
LAMONGAN GRESIK,LAMONGAN
TUBAN BOJONEGORO,BOJONEGORO
TUBAN BOJONEGORO,TUBAN
KOTA PROBOLINGGO,KOTA PROBOLINGGO
KOTA PROBOLINGGO,LUMAJANG
KOTA PROBOLINGGO,PROBOLINGGO
JEMBER,JEMBER
BANYUWANGI - SITUBONDOWOSO,BANYUWANGI
BANYUWANGI - SITUBONDOWOSO,BONDOWOSO
BANYUWANGI - SITUBONDOWOSO,SITUBONDO
SEMARANG 1,KENDAL
SEMARANG 2,KOTA SEMARANG
DEMAK,DEMAK
DEMAK,KOTA SALATIGA
DEMAK,SEMARANG
JEPARA KUDUS - PATI,JEPARA
JEPARA KUDUS - PATI,KUDUS
JEPARA KUDUS - PATI,PATI
JEPARA KUDUS - PATI,REMBANG
SURAKARTA,KARANGANYAR
SURAKARTA,KOTA SURAKARTA
SURAKARTA,WONOGIRI
BOYOLALI,BOYOLALI
BOYOLALI,KLATEN
BOYOLALI,SUKOHARJO
SRAGEN,BLORA
SRAGEN,GROBOGAN
SRAGEN,SRAGEN
YOGYA 1,GUNUNG KIDUL
YOGYA 1,SLEMAN
YOGYA 2,BANTUL
YOGYA 2,KOTA YOGYAKARTA
YOGYA 2,KULON PROGO
MAGELANG TEMANGGUNG,KOTA MAGELANG
MAGELANG TEMANGGUNG,MAGELANG
MAGELANG TEMANGGUNG,TEMANGGUNG
KEBUMEN,KEBUMEN
KEBUMEN,PURWOREJO
BATANG,BATANG
BATANG,KOTA PEKALONGAN
BATANG,PEKALONGAN
PEMALANG PURBALINGGA,PEMALANG
PEMALANG PURBALINGGA,PURBALINGGA
TEGAL BREBES,BREBES
TEGAL BREBES,KOTA TEGAL
TEGAL BREBES,TEGAL
CILACAP BANYUMAS,BANYUMAS
CILACAP BANYUMAS,CILACAP
WONOSOBO BANJARNEGARA,BANJARNEGARA
WONOSOBO BANJARNEGARA,WONOSOBO
BALI BARAT,BULELENG
BALI BARAT,JEMBRANA
BALI BARAT,TABANAN
BALI TENGAH 1,BADUNG
BALI TENGAH 2,KOTA DENPASAR
BALI TIMUR,BANGLI
BALI TIMUR,GIANYAR
BALI TIMUR,KARANG ASEM
BALI TIMUR,KLUNGKUNG
LOMBOK,KOTA MATARAM
LOMBOK,LOMBOK BARAT
LOMBOK,LOMBOK TENGAH
LOMBOK,LOMBOK TIMUR
LOMBOK,LOMBOK UTARA
SUMBAWA BARAT - SUMBAWA TIMUR,BIMA
SUMBAWA BARAT - SUMBAWA TIMUR,DOMPU
SUMBAWA BARAT - SUMBAWA TIMUR,KOTA BIMA
SUMBAWA BARAT - SUMBAWA TIMUR,SUMBAWA
SUMBAWA BARAT - SUMBAWA TIMUR,SUMBAWA BARAT
KUPANG ROTE - MALAKA TIMTIM BELU,BELU
KUPANG ROTE - MALAKA TIMTIM BELU,KOTA KUPANG
KUPANG ROTE - MALAKA TIMTIM BELU,KUPANG
KUPANG ROTE - MALAKA TIMTIM BELU,MALAKA
KUPANG ROTE - MALAKA TIMTIM BELU,ROTE NDAO
KUPANG ROTE - MALAKA TIMTIM BELU,TIMOR TENGAH SELATAN
KUPANG ROTE - MALAKA TIMTIM BELU,TIMOR TENGAH UTARA
SUMBA,SABU RAIJUA
SUMBA,SUMBA BARAT
SUMBA,SUMBA TIMUR
ENDE SIKKA - FLORES TIMUR,ALOR
ENDE SIKKA - FLORES TIMUR,ENDE
ENDE SIKKA - FLORES TIMUR,FLORES TIMUR
ENDE SIKKA - FLORES TIMUR,LEMBATA
ENDE SIKKA - FLORES TIMUR,SIKKA
MANGGARAI,MANGGARAI
MANGGARAI,MANGGARAI BARAT
MANGGARAI,MANGGARAI TIMUR
MANGGARAI,NGADA
MADIUN - PONOROGO TRENGGALEK,KOTA MADIUN
MANGGARAI,NAGEKEO
SUMBA,SUMBA BARAT DAYA
SUMBA,SUMBA TENGAH
