WOK,UMR,Jumlah GraPARI,Jumlah Kepala Keluarga,Luas WOK,Revenue,Jumlah Customer Base,Jumlah Karyawan
SURABAYA,5288796.0,5,904222,335.54,732,344841,9
BANGKALAN SAMPANG,2518550.44,2,522757,2488.4,71,41699,2
PAMEKASAN SUMENEP,2542732.79,2,618674,2883.16,59,33568,2
SIDOARJO PASURUAN 1,5191541.0,2,534491,686.15,327,159467,4
SIDOARJO PASURUAN 2,5000624.69,2,498874,1513.41,126,62276,3
JOMBANG MOJOKERTO,4117495.91,2,798869,1866.29,128,56559,2
MALANG SELATAN,3736101.0,2,251425,110.06,184,79590,3
MALANG UTARA,3784471.08,3,782347,3401.2,171,74687,2
TULUNGAGUNG,2593368.26,2,788500,2687.33,72,32659,2
KEDIRI,2979821.58,2,1013558,2684.51,110,48898,2
MADIUN - PONOROGO TRENGGALEK,2544439.27,6,1622216,7052.88,125,56090,5
LAMONGAN GRESIK,4212944.55,2,754996,3007.16,180,80725,4
TUBAN BOJONEGORO,2949097.3,2,773220,4147.0,85,41761,2
KOTA PROBOLINGGO,2894136.43,3,738255,4093.31,88,51427,2
JEMBER,3012197.0,1,717072,3353.17,76,33485,3
BANYUWANGI - SITUBONDOWOSO,2761429.62,4,1113658,5330.17,90,40876,3
SEMARANG 1,2992994.0,1,314313,1023.0,122,53199,2
SEMARANG 2,3701709.0,2,493020,372.37,220,103371,4
DEMAK,3009616.28,3,648279,1921.0,116,51869,2
JEPARA KUDUS - PATI,2587490.56,5,1243582,5774.31,146,63690,3
SURAKARTA,2482431.97,3,826568,2716.15,207,86906,3
BOYOLALI,2527782.23,3,819807,2125.63,144,61019,2
SRAGEN,2367143.92,3,1122645,4897.29,85,39788,2
YOGYA 1,2412617.73,2,581250,2060.18,277,108373,2
YOGYA 2,2423517.25,3,548494,1125.93,230,99181,3
MAGELANG TEMANGGUNG,2524248.82,3,673144,1974.94,167,70819,4
KEBUMEN,2400722.07,2,653443,2167.18,92,34000,2
BATANG,2673984.83,2,502649,1469.53,95,45367,4
PEMALANG PURBALINGGA,2450321.87,2,686152,1892.0,73,35261,2
TEGAL BREBES,2444753.92,4,1195108,2687.4,128,56039,2
CILACAP BANYUMAS,2631351.83,4,1027096,3640.44,184,83119,1
WONOSOBO BANJARNEGARA,2386615.42,2,544655,2054.5,68,31098,2
BALI BARAT,3231526.13,3,451239,2819.3,109,47017,2
BALI TENGAH 1,3791002.57,3,126252,419.01,169,67079,2
BALI TENGAH 2,3499878.78,2,156716,127.78,161,66877,3
BALI TIMUR,3265317.45,2,367348,2012.68,142,50446,2
LOMBOK,2778036.39,4,1024793,4715.73,137,50359,4
SUMBAWA BARAT - SUMBAWA TIMUR,2799435.67,5,306669,15616.97,104,43491,3
KUPANG ROTE - MALAKA TIMTIM BELU,2472790.43,6,265918,15871.9,125,45850,3
SUMBA,2455898.0,2,91866,11807.0,11,5678,1
ENDE SIKKA - FLORES TIMUR,2455898.0,4,201127,8874.1,43,16779,1
MANGGARAI,2455898.0,3,85585,8147.69,23,8026,1
