WOK,Kota
BALI BARAT,BULELENG
BALI BARAT,JEMBRANA
BALI BARAT,TABANAN
BALI TENGAH,KOTA DENPASAR
BALI TENGAH,BADUNG
BALI TIMUR,KARANG ASEM
BALI TIMUR,GIANYAR
BALI TIMUR,BANGLI
BALI TIMUR,KLUNGKUNG
ENDE SIKKA,SIKKA
ENDE SIKKA,ENDE
FLORES TIMUR,ALOR
FLORES TIMUR,FLORES TIMUR
FLORES TIMUR,LEMBATA
MANGGARAI,MANGGARAI
MANGGARAI,NGADA
MANGGARAI,NAGEKEO
MANGGARAI,MANGGARAI TIMUR
MANGGARAI,MANGGARAI BARAT
KUPANG ROTE,KOTA KUPANG
KUPANG ROTE,KUPANG
KUPANG ROTE,ROTE NDAO
MALAKA TIMTIM BELU,TIMOR TENGAH SELATAN
MALAKA TIMTIM BELU,MALAKA
MALAKA TIMTIM BELU,BELU
MALAKA TIMTIM BELU,TIMOR TENGAH UTARA
SUMBA,SUMBA TENGAH
SUMBA,SABU RAIJUA
SUMBA,SUMBA BARAT
SUMBA,SUMBA BARAT DAYA
SUMBA,SUMBA TIMUR
LOMBOK,KOTA MATARAM
LOMBOK,LOMBOK UTARA
LOMBOK,LOMBOK BARAT
LOMBOK,LOMBOK TENGAH
LOMBOK,LOMBOK TIMUR
SUMBAWA BARAT,SUMBAWA BARAT
SUMBAWA BARAT,SUMBAWA
SUMBAWA BARAT,DOMPU
SUMBAWA BARAT,KOTA BIMA
SUMBAWA BARAT,BIMA
NEW KEBUMEN,KEBUMEN
NEW KEBUMEN,PURWOREJO
MAGELANG TEMANGGUNG,KOTA MAGELANG
MAGELANG TEMANGGUNG,MAGELANG
MAGELANG TEMANGGUNG,TEMANGGUNG
NEW BATANG,BREBES
NEW BATANG,PEMALANG
NEW BATANG,PEKALONGAN
NEW BATANG,BATANG
TEGAL BREBES,TEGAL
TEGAL BREBES,KOTA TEGAL
TEGAL BREBES,KOTA PEKALONGAN
CILACAP BANYUMAS,CILACAP
CILACAP BANYUMAS,BANYUMAS
BANJARNEGARA,PURBALINGGA
BANJARNEGARA,WONOSOBO
BANJARNEGARA,BANJARNEGARA
DEMAK,KENDAL
DEMAK,DEMAK
DEMAK,KOTA SALATIGA
SEMARANG,SEMARANG
SEMARANG,KOTA SEMARANG
JEPARA KUDUS,JEPARA
JEPARA KUDUS,KUDUS
PATI,PATI
PATI,REMBANG
SRAGEN,SRAGEN
SRAGEN,KARANGANYAR
SRAGEN,GROBOGAN
BOYOLALI,BOYOLALI
BOYOLALI,BLORA
BOYOLALI,KLATEN
SURAKARTA,SUKOHARJO
SURAKARTA,KOTA SURAKARTA
SURAKARTA,WONOGIRI
DAERAH ISTIMEWA YOGYAKARTA,SLEMAN
DAERAH ISTIMEWA YOGYAKARTA,BANTUL
DAERAH ISTIMEWA YOGYAKARTA,KULON PROGO
DAERAH ISTIMEWA YOGYAKARTA,GUNUNG KIDUL
DAERAH ISTIMEWA YOGYAKARTA,KOTA YOGYAKARTA
BANYUWANGI,BANYUWANGI
JEMBER,JEMBER
KOTA PROBOLINGGO,LUMAJANG
KOTA PROBOLINGGO,PROBOLINGGO
KOTA PROBOLINGGO,KOTA PROBOLINGGO
SITUBONDOWOSO,BONDOWOSO
SITUBONDOWOSO,SITUBONDO
LAMONGAN GRESIK,GRESIK
LAMONGAN GRESIK,LAMONGAN
TUBAN BOJONEGORO,BOJONEGORO
TUBAN BOJONEGORO,TUBAN
KEDIRI,KEDIRI
KEDIRI,KOTA KEDIRI
KEDIRI,NGANJUK
MADIUN,KOTA MADIUN
MADIUN,MADIUN
MADIUN,MAGETAN
MADIUN,NGAWI
PONOROGO,PACITAN
PONOROGO,PONOROGO
PONOROGO,TRENGGALEK
MALANG,KOTA BATU
MALANG,MALANG
MALANG,KOTA MALANG
TULUNGAGUNG,BLITAR
TULUNGAGUNG,KOTA BLITAR
TULUNGAGUNG,TULUNGAGUNG
JOMBANG MOJOKERTO,JOMBANG
JOMBANG MOJOKERTO,KOTA MOJOKERTO
JOMBANG MOJOKERTO,MOJOKERTO
SIDOARJO PASURUAN,KOTA PASURUAN
SIDOARJO PASURUAN,PASURUAN
SIDOARJO PASURUAN,SIDOARJO
KOTA SURABAYA,KOTA SURABAYA
MADURA,SUMENEP
MADURA,PAMEKASAN
MADURA,SAMPANG
MADURA,BANGKALAN
