WOK,Revenue,Luas WOK,Jumlah Penduduk,Jumlah GraPARI,Jumlah Mitra,Jumlah Karyawan,Jumlah Customer Base,Total Kecamatan,UMR
BULELENG - JEMBRANA - TABANAN,224.0,2819.3,1538500.0,3.0,3.0,1.0,312157,24.0,3234198.957
KOTA DENPASAR - BADUNG,999.0,546.79,1273520.0,5.0,4.0,5.0,1464489,10.0,3645440.675
KARANG ASEM - GIANYAR - BANGLI - KLUNGKUNG,323.0,2012.68,1472950.0,2.0,2.0,2.0,100749,23.0,3234793.87
SIKKA - ENDE,256.0,3215.84,633650.0,2.0,0.0,2.0,350231,42.0,2455898.0
ALOR - FLORES TIMUR - LEMBATA,256.0,5658.26,630320.0,2.0,0.0,1.0,329401,46.0,2455898.0
MANGGARAI - NGADA - NAGEKEO - MANGGARAI TIMUR - MANGGARAI BARAT,479.0,9553.35,1304910.0,3.0,0.0,1.0,59502,55.0,2455898.0
KOTA KUPANG - KUPANG - ROTE NDAO,463.0,6982.84,1034545.0,2.0,0.0,2.0,609375,40.0,2481549.333
TIMOR TENGAH SELATAN - MALAKA - BELU - TIMOR TENGAH UTARA,351.0,8889.06,1157891.0,4.0,2.0,1.0,546985,77.0,2455898.0
SUMBA TENGAH - SABU RAIJUA - SUMBA BARAT - SUMBA BARAT DAYA - SUMBA TIMUR,228.0,11807.0,1015769.0,2.0,0.0,1.0,351422,51.0,2455898.0
KOTA MATARAM - LOMBOK UTARA - LOMBOK BARAT - LOMBOK TENGAH,249.0,3116.22,2491556.0,3.0,2.0,3.0,361359,33.0,2246203.2
LOMBOK TIMUR,48.0,1599.51,1363601.0,1.0,0.0,1.0,80297,21.0,2758221.0
SUMBAWA BARAT - SUMBAWA - DOMPU - KOTA BIMA - BIMA,533.0,15616.97,1537388.0,5.0,2.0,2.0,855316,63.0,2846795.8
KEBUMEN,156.0,1085.73,1345914.0,1.0,2.0,1.0,361806,21.0,2400000.0
PURWOREJO,111.0,1081.45,783787.0,1.0,17.0,1.0,256555,16.0,2401962.0
KOTA MAGELANG - MAGELANG - TEMANGGUNG,213.0,1974.94,2262239.0,3.0,17.0,2.0,434825,44.0,2478025.0
BREBES,162.0,1769.62,2017974.0,2.0,0.0,1.0,292819,17.0,2400350.0
PEMALANG - PEKALONGAN - BATANG,313.0,2538.7,3232130.0,2.0,4.0,2.0,68824,45.0,2591824.667
TEGAL - KOTA TEGAL - KOTA PEKALONGAN,203.0,963.03,2275693.0,3.0,10.0,1.0,494945,26.0,2570532.667
CILACAP,216.0,2249.28,2027379.0,3.0,28.0,1.0,400436,24.0,2773184.0
BANYUMAS,257.0,1391.16,1834401.0,1.0,6.0,3.0,461967,27.0,2474599.0
PURBALINGGA - WONOSOBO - BANJARNEGARA,294.0,2832.14,2966032.0,3.0,0.0,2.0,707683,53.0,2419191.0
KENDAL,85.0,1022.69,1030780.0,1.0,16.0,1.0,204117,20.0,2992994.0
DEMAK - KOTA SALATIGA,149.0,969.23,1401380.0,2.0,18.0,3.0,318823,18.0,2910539.0
SEMARANG - KOTA SEMARANG,646.0,1324.2,2729740.0,3.0,140.0,3.0,1152806,35.0,3320898.5
JEPARA,131.0,992.94,1220650.0,1.0,8.0,1.0,305231,16.0,2756501.0
KUDUS,96.0,425.16,845830.0,1.0,6.0,1.0,222257,9.0,2818585.0
PATI - REMBANG,238.0,2535.61,1972080.0,2.0,10.0,1.0,708094,35.0,2435652.5
SRAGEN - KARANGANYAR - GROBOGAN,452.0,3709.25,3415304.0,3.0,30.0,2.0,927796,56.0,2443013.333
BOYOLALI - BLORA - KLATEN,414.0,3614.76,3150567.0,3.0,34.0,1.0,773248,64.0,2474111.667
SUKOHARJO,136.0,466.7,871214.0,1.0,25.0,1.0,26406,12.0,2500000.0
KOTA SURAKARTA (SOLO) - WONOGIRI,260.0,1948.36,1521735.0,2.0,52.0,3.0,510421,30.0,2452563.0
SLEMAN,385.0,574.82,1147562.0,1.0,40.0,1.0,530545,17.0,2466514.0
BANTUL,178.0,506.85,979540.0,1.0,18.0,1.0,38824,17.0,2360533.0
KULON PROGO,57.0,586.26,445267.0,1.0,13.0,1.0,134153,12.0,2351239.0
GUNUNG KIDUL - KOTA YOGYAKARTA,206.0,1518.18,1156493.0,2.0,57.0,2.0,363146,32.0,2492652.0
BANYUWANGI,229.0,2439.68,1762380.0,2.0,0.0,1.0,630556,25.0,2989145.0
JEMBER,317.0,3353.17,2572740.0,1.0,2.0,3.0,893622,30.0,3012197.0
LUMAJANG - PROBOLINGGO - KOTA PROBOLINGGO,239.0,6071.08,3479580.0,3.0,8.0,2.0,790373,69.0,2929339.333
BONDOWOSO,66.0,1523.61,800570.0,1.0,0.0,1.0,24292,23.0,2496886.0
SITUBONDO,77.0,1366.88,683090.0,1.0,0.0,1.0,250309,17.0,2483962.0
GRESIK,290.0,1193.76,1296688.0,1.0,16.0,1.0,473312,18.0,5195401.0
LAMONGAN,99.0,1813.4,1253117.0,1.0,14.0,2.0,241693,27.0,3196328.0
BOJONEGORO,148.0,2307.06,1339100.0,1.0,0.0,2.0,326542,28.0,2685983.0
TUBAN,131.0,1839.94,1258368.0,1.0,0.0,1.0,262532,20.0,3229092.0
KEDIRI - KOTA KEDIRI,196.0,1459.69,1973122.0,1.0,37.0,2.0,474676,29.0,2697204.5
NGANJUK,86.0,1224.82,1062267.0,1.0,0.0,1.0,276989,20.0,3564627.0
KOTA MADIUN,32.0,33.23,201760.0,1.0,10.0,1.0,66364,3.0,5288796.0
MADIUN,63.0,1010.86,677128.0,0.0,13.0,2.0,183406,15.0,2553221.0
MAGETAN,53.0,687.77,648692.0,1.0,8.0,1.0,145259,18.0,2553866.0
NGAWI,80.0,1298.21,861416.0,1.0,0.0,2.0,214637,19.0,2556815.0
PACITAN - PONOROGO,162.0,2761.4,1517851.0,2.0,0.0,2.0,452649,33.0,2532384.0
TRENGGALEK,100.0,1261.41,736585.0,1.0,0.0,1.0,292808,14.0,2530313.0
KOTA BATU - MALANG - KOTA MALANG,732.0,3511.26,3735740.0,5.0,50.0,5.0,145324,41.0,3700482.333
BLITAR - KOTA BLITAR - TULUNGAGUNG,207.0,2687.33,2458140.0,2.0,9.0,3.0,561906,44.0,2581936.667
JOMBANG - KOTA MOJOKERTO - MOJOKERTO,254.0,1866.29,2587240.0,2.0,14.0,3.0,507022,42.0,3901809.0
KOTA PASURUAN,14.0,38.99,209130.0,1.0,4.0,1.0,163415,4.0,3555301.0
PASURUAN,165.0,1474.42,1615880.0,1.0,6.0,2.0,470152,24.0,5187681.0
SIDOARJO,534.0,686.15,2067820.0,2.0,35.0,6.0,844684,18.0,5191541.0
KOTA SURABAYA,1042.0,335.54,3010364.0,5.0,115.0,6.0,1710672,31.0,5288796.0
SUMENEP - PAMEKASAN,158.0,2883.16,1993162.0,2.0,6.0,1.0,499023,40.0,2540846.0
SAMPANG - BANGKALAN,144.0,2488.4,2012310.0,2.0,0.0,1.0,369633,32.0,2517358.5
